"film_id","title","description","release_year","language_id","rental_duration","rental_rate","length","replacement_cost","rating","last_update","special_features","fulltext"
133,"Chamber Italian","A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria",2006,1,7,"4.99",117,"14.99","NC-17","2013-05-26 14:50:58.951","{Trailers}","'chamber':1 'fate':4 'husband':11 'italian':2 'monkey':16 'moos':8 'must':13 'nigeria':18 'overcom':14 'reflect':5"
22,"Amistad Midsummer","A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California",2006,1,6,"2.99",85,"10.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'amistad':1 'california':20 'charact':5 'crocodil':12 'dentist':9 'emot':4 'meet':15 'midsumm':2 'must':14 'studi':6 'sumo':17 'wrestler':18"
27,"Anonymous Human","A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank",2006,1,7,"0.99",179,"12.99","NC-17","2013-05-26 14:50:58.951","{""Deleted Scenes"",""Behind the Scenes""}","'administr':9,18 'amaz':4 'anonym':1 'astronaut':12 'databas':8,17 'human':2 'must':14 'outrac':15 'reflect':5 'shark':21 'tank':22"
32,"Apocalypse Flamingos","A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park",2006,1,6,"4.99",119,"11.99","R","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':19 'amus':20 'apocalyps':1 'astound':4 'defeat':14 'dog':8 'flamingo':2 'must':13 'park':21 'squirrel':11 'stori':5 'woman':16"
36,"Argonauts Town","A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft",2006,1,7,"0.99",127,"12.99","PG-13","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'abandon':20 'argonaut':1 'butler':12 'challeng':15 'emot':4 'epistl':5 'forens':8 'mine':21 'must':14 'psychologist':9 'shaft':22 'town':2 'waitress':17"
72,"Bill Others","A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention",2006,1,6,"2.99",93,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'bill':1 'challeng':16 'convent':22 'forens':12 'mad':8 'must':15 'mysql':21 'other':2 'psychologist':13 'saga':5 'scientist':9 'squirrel':18 'stun':4"
75,"Bird Independence","A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies",2006,1,6,"4.99",163,"14.99","G","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'bird':1 'canadian':19 'car':8 'documentari':5 'hunter':16 'independ':2 'must':13 'rocki':20 'sink':14 'student':11 'thrill':4"
78,"Blackout Private","A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan",2006,1,7,"2.99",85,"12.99","PG","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'agent':19 'ancient':21 'blackout':1 'challeng':16 'chef':9 'intrepid':4 'japan':22 'mad':12 'must':15 'pastri':8 'privat':2 'scientist':13 'secret':18 'yarn':5"
84,"Boiled Dares","A Awe-Inspiring Story of a Waitress And a Dog who must Discover a Dentist in Ancient Japan",2006,1,7,"4.99",102,"13.99","PG","2013-05-26 14:50:58.951","{Trailers,Commentaries}","'ancient':20 'awe':5 'awe-inspir':4 'boil':1 'dare':2 'dentist':18 'discov':16 'dog':13 'inspir':6 'japan':21 'must':15 'stori':7 'waitress':10"
86,"Boogie Amelie","A Lacklusture Character Study of a Husband And a Sumo Wrestler who must Succumb a Technical Writer in The Gulf of Mexico",2006,1,6,"4.99",121,"11.99","R","2013-05-26 14:50:58.951","{Commentaries,""Behind the Scenes""}","'ameli':2 'boogi':1 'charact':5 'gulf':22 'husband':9 'lacklustur':4 'mexico':24 'must':15 'studi':6 'succumb':16 'sumo':12 'technic':18 'wrestler':13 'writer':19"
87,"Boondock Ballroom","A Fateful Panorama of a Crocodile And a Boy who must Defeat a Monkey in The Gulf of Mexico",2006,1,7,"0.99",76,"14.99","NC-17","2013-05-26 14:50:58.951","{""Behind the Scenes""}","'ballroom':2 'boondock':1 'boy':11 'crocodil':8 'defeat':14 'fate':4 'gulf':19 'mexico':21 'monkey':16 'must':13 'panorama':5"
94,"Braveheart Human","A Insightful Story of a Dog And a Pastry Chef who must Battle a Girl in Berlin",2006,1,7,"2.99",176,"14.99","PG-13","2013-05-26 14:50:58.951","{Trailers,""Deleted Scenes""}","'battl':15 'berlin':19 'braveheart':1 'chef':12 'dog':8 'girl':17 'human':2 'insight':4 'must':14 'pastri':11 'stori':5"
